"","COMUNA","n_1","n_2","n_3","vote_1","vote_2","vote_3","participacion_1","participacion_2","participacion_3","n","vote","participacion","year","cod_comuna","X24.Oct","group_etapa_plebiscito","yautcorh","decil1","decil2","decil3","decil4","decil5","decil6","decil7","decil8","decil9","decil10","hacinamiento_2"
"54","Coelemu",4591,7613,2405,2252,5640,1664,0.490524940100196,0.740838040194404,0.691891891891892,14609,9556,0.654117324936683,2012,16203,3,0,654275.975230695,0.13591896,0.17171997,0.087629221,0.15104419,0.17824186,0.089225002,0.040796503,0.071255118,0.05328523,0.020883923,0.06556581
"55","Coihueco",6534,10352,2995,2613,7450,1850,0.399908172635445,0.719667697063369,0.617696160267112,19881,11913,0.599215331220764,2012,16302,1,1,463194.885904677,0.22741863,0.23156312,0.19519727,0.079110965,0.050587136,0.099711508,0.035878267,0.026248425,0.054284669,0,0.042826377
"56","Coinco",2130,3286,1041,1001,2476,737,0.469953051643193,0.753499695678637,0.707973102785783,6457,4214,0.652625058076506,2012,6103,3,0,618780.649642763,0.16724001,0.15863985,0.12000529,0.23934904,0.088912413,0.056628738,0.12172532,0.034665257,0.0091293994,0.0037046839,0.14421804
"57","Colbun",5178,8476,2375,2386,6037,1666,0.460795674005407,0.712246342614441,0.701473684210526,16029,10089,0.629421673217294,2012,7402,3,0,531616.975145964,0.22411485,0.29214206,0.063206382,0.12957309,0.077561736,0.071133964,0.045422893,0.039637901,0.051743533,0.005463603,0.17504954
"58","Colchane",1180,1418,242,639,757,174,0.541525423728814,0.533850493653032,0.71900826446281,2840,1570,0.552816901408451,2012,1403,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Colina",26736,33835,5833,5674,19012,3706,0.212223219628965,0.561903354514556,0.635350591462369,66404,28392,0.427564604541895,2012,13301,4,0,1416180.51724695,0.1287363,0.10183413,0.123624,0.10730179,0.11919818,0.14955701,0.058714736,0.062591366,0.040648043,0.10779444,0.14058425
"60","Collipulli",6807,10682,3371,2161,6691,1902,0.317467313060085,0.626380827560382,0.5642242657965,20860,10754,0.515532118887824,2012,9202,2,1,479625.881084319,0.21326943,0.23518546,0.160651,0.080575109,0.13024811,0.061055366,0.053916428,0.024462083,0.024112625,0.016524388,0.10558634
"61","Coltauco",4758,7194,2145,1384,4694,1262,0.290878520386717,0.652488184598276,0.588344988344988,14097,7340,0.520678158473434,2012,6104,3,0,633539.46772935,0.1487571,0.11258499,0.17417233,0.098484002,0.15945825,0.14095418,0.061866011,0.056849848,0.035447553,0.011425705,0.084605955
"62","Combarbala",3363,6102,2578,1075,4033,1639,0.319655069878085,0.660930842346772,0.635764158262219,12043,6747,0.5602424645022,2012,4302,3,0,510459.717667177,0.15507156,0.22239223,0.23913239,0.069660693,0.10386104,0.07470075,0.077850781,0.0066600665,0.029970299,0.020700207,0.080010802
"63","Concepcion",64689,101473,30723,14500,45160,15028,0.224149391704927,0.445044494594621,0.48914494027276,196885,74688,0.379348350559972,2012,8101,2,1,872045.254259437,0.067296326,0.12791111,0.12988816,0.081755809,0.093627132,0.090382963,0.10957839,0.096660122,0.1150827,0.087817281,0.057559136
"64","Conchali",35412,63902,20495,6304,28265,10111,0.178018750705975,0.442317924321617,0.493339838985118,119809,44680,0.372926908662955,2012,13104,2,1,1115129.89008914,0.07065618,0.068801805,0.13120267,0.18194106,0.12794074,0.07793963,0.13971491,0.097645164,0.09184745,0.012310374,0.15375678
"65","Concon",11194,15306,4130,4383,9692,2790,0.391549044130784,0.633215732392526,0.675544794188862,30630,16865,0.55060398302318,2012,5103,3,0,1272150.55139567,0.04789586,0.10653103,0.13467246,0.12836681,0.070027217,0.075520031,0.12340357,0.099695802,0.12382231,0.090064906,0.103058
"66","Constitucion",13585,19037,4399,4587,12640,2669,0.337651821862348,0.663970163366077,0.606728802000455,37021,19896,0.53742470489722,2012,7102,3,0,826754.150816874,0.10361584,0.14294423,0.1249521,0.14459887,0.10169993,0.12115512,0.072647788,0.092764832,0.061431009,0.034190267,0.050510328
"67","Contulmo",1697,2931,1017,836,2061,596,0.49263406010607,0.703172978505629,0.586037364798427,5645,3493,0.618777679362267,2012,8204,3,0,429516.722031572,0.29169527,0.18874399,0.13292153,0.14481811,0.078471743,0.059025396,0.05353466,0,0.050789293,0,0.055136126
"68","Copiapo",42496,53624,12551,7734,26702,7057,0.18199359939759,0.497948679695659,0.562265954903992,108671,41493,0.381822197274342,2012,3101,2,1,1051287.17805717,0.083358787,0.11907994,0.1110489,0.10061421,0.084721796,0.10841902,0.098301038,0.11962853,0.10784214,0.066985644,0.095367335
"69","Coquimbo",52527,67451,18885,9303,34038,10714,0.177108915414929,0.504632992839246,0.56732856764628,138863,54055,0.389268559659521,2012,4102,3,0,606953.642822302,0.16929604,0.18683809,0.15715887,0.10281657,0.099264324,0.097345538,0.07821966,0.054975003,0.045806989,0.0082789194,0.10874011
"70","Coronel",28739,41978,10308,7921,25758,6421,0.275618497512092,0.613607127542999,0.622914241365929,81025,40100,0.494908978710275,2012,8102,1,1,739690.035971223,0.10219137,0.13026287,0.14706394,0.15464142,0.098489732,0.11049175,0.083543822,0.09758392,0.057275247,0.018455938,0.086904578
"71","Corral",1325,2873,1049,711,1891,588,0.536603773584906,0.658197006613296,0.560533841754052,5247,3190,0.607966457023061,2012,14102,2,1,502214.998188816,0.26533845,0.13040525,0.16889292,0.12904686,0.048222777,0.12678288,0.042562824,0.061353859,0.021960607,0.005433552,0.060448267
"72","Coyhaique",17435,26057,6400,3617,11748,2409,0.207456266131345,0.450857734965652,0.37640625,49892,17774,0.356249498917662,2012,11101,1,1,1279494.07133915,0.049972933,0.07748004,0.10449655,0.081117198,0.10767695,0.10627284,0.086090811,0.10368453,0.14135878,0.14184937,0.082998797
"73","Cunco",4843,9635,4393,1780,5063,1786,0.36754078050795,0.525480020757654,0.406555884361484,18871,8629,0.457262466218006,2012,9103,2,1,459586.457882405,0.27039444,0.24338861,0.11329,0.041685343,0.12259077,0.073061407,0.064208873,0.023532048,0.036530703,0.011317795,0.10533393
"74","Curacautin",4935,10629,4817,1703,5033,1774,0.345086119554205,0.473515852855396,0.368279011833091,20381,8510,0.417545753397772,2012,9203,4,0,537762.862643678,0.25079024,0.16767241,0.16400862,0.14770114,0.044827588,0.044252872,0.033477012,0.083979882,0.033117816,0.030172413,0
"75","Curacavi",7503,11295,3170,2449,7570,2075,0.326402772224444,0.67020805666224,0.654574132492114,21968,12094,0.550528040786599,2012,13503,4,0,604031.306343721,0.18610168,0.18658248,0.1162254,0.1263863,0.11811654,0.083434835,0.064843901,0.071671262,0.039233286,0.0074043209,0.044329766
"76","Curaco De Velez",1003,1607,766,658,1203,425,0.656031904287139,0.748599875544493,0.554830287206266,3376,2286,0.677132701421801,2012,10204,3,0,661153.292576419,0.19213974,0.2117904,0.096069872,0.076419212,0.20960699,0.045851529,0.096069872,0,0.072052404,0,0
"77","Curanilahue",9933,15473,3811,3639,10092,2291,0.366354575656901,0.652232921863892,0.601154552610863,29217,16022,0.548379368176062,2012,8205,1,1,632589.607238653,0.10875396,0.20176263,0.17709966,0.1593688,0.082105413,0.10837078,0.049395617,0.063399173,0.032396279,0.017347686,0.082523428
"78","Curarrehue",2380,4057,1219,1403,2458,730,0.589495798319328,0.605866403746611,0.598851517637408,7656,4591,0.59966039707419,2012,9104,4,0,773198.460527978,0.30301881,0.22596943,0.1121637,0.081596561,0.056713402,0.04850322,0.087280534,0.033724897,0.008336491,0.042692941,0.17266642
"79","Curepto",2797,5193,2151,1274,3704,1337,0.455488022881659,0.713267860581552,0.621571362157136,10141,6315,0.622719652894192,2012,7103,3,0,485010.875029336,0.20359071,0.21497302,0.12720019,0.11452711,0.12450129,0.097042948,0.037315182,0.052335132,0.023116639,0.0053977938,0.1433645
"80","Curico",38504,52356,13670,10028,31597,8335,0.260440473717016,0.603502941401177,0.609729334308705,104530,49960,0.477948914187315,2012,7301,2,1,820373.384059181,0.093844973,0.13883713,0.14420065,0.12668069,0.11679524,0.10612831,0.10004342,0.069812641,0.054470159,0.049186788,0.065711953
"81","Dalcahue",3505,5193,1931,1184,3497,850,0.337803138373752,0.673406508761795,0.44018643190057,10629,5531,0.520368802333239,2012,10205,3,0,794552.505865585,0.12032672,0.11857253,0.17547418,0.15996052,0.074936956,0.081515186,0.070277385,0.093849361,0.036180243,0.068906918,0.068029821
"82","Diego De Almagro",4677,8596,1416,928,3825,727,0.198417789181099,0.444974406700791,0.513418079096045,14689,5480,0.373068282388182,2012,3202,3,0,1058544.34366988,0.078622878,0.075570747,0.057868391,0.1222073,0.069466487,0.16273959,0.14406055,0.13197412,0.091685995,0.06580393,0.11425757
"83","Doñihue",5641,8676,2350,1850,5813,1521,0.327956036163801,0.670009220839096,0.647234042553192,16667,9184,0.551028979420412,2012,6105,3,0,698225.14678143,0.098571561,0.16427067,0.1584104,0.14829229,0.088407658,0.086026922,0.12205842,0.068537682,0.042349603,0.023074809,0.091154657
"84","El Bosque",49318,68009,18283,7637,31161,9702,0.154852183786853,0.458189357290947,0.53065689438276,135610,48500,0.357643241648846,2012,13105,3,0,913583.819136782,0.091172613,0.14482507,0.14562809,0.12415536,0.086263068,0.1441265,0.058300853,0.10682832,0.066997014,0.031703129,0.14403252
"85","El Carmen",3601,6188,2088,1824,4596,1350,0.506525965009719,0.742727860374919,0.646551724137931,11877,7770,0.654205607476635,2012,16104,3,0,446144.017107014,0.35164419,0.13181904,0.1395172,0.13343471,0.10796426,0.030222392,0.041436989,0.051986314,0.0095038963,0.0024710132,0.091047332
"86","El Monte",8782,12313,3199,2868,8635,2174,0.326577089501253,0.701291318119061,0.679587371053454,24294,13677,0.562978513213139,2012,13602,3,0,879686.897930822,0.13316862,0.12473749,0.078011118,0.14289685,0.106084,0.14969116,0.075756639,0.08863496,0.08495985,0.016059296,0.091754168
"87","El Quisco",2700,5021,2562,1096,3212,1649,0.405925925925926,0.639713204540928,0.643637782982045,10283,5957,0.57930565010211,2012,5604,3,0,698939.577921396,0.080075659,0.092633456,0.20891131,0.098413199,0.046710804,0.22278269,0.1326713,0.077711225,0.040090375,0,0.071458593
"88","El Tabo",1855,4302,2369,883,2923,1631,0.476010781671159,0.679451417945142,0.688476150274377,8526,5437,0.637696457893502,2012,5605,3,0,920653.783650216,0.077150114,0.061225891,0.16741025,0.21497701,0.10419384,0.067266114,0.032672111,0.15025054,0.030750223,0.094103917,0.07687556
"89","Empedrado",1500,2156,623,1020,1763,423,0.68,0.817717996289425,0.678972712680578,4279,3206,0.749240476746904,2012,7104,3,0,503019.438265035,0.17136775,0.17429484,0.19984034,0.11016499,0.12799361,0.1327834,0.037253857,0.027674295,0.018626928,0,0.075838208
"90","Ercilla",2547,3836,1345,1029,2563,806,0.404004711425206,0.668143899895725,0.599256505576208,7728,4398,0.569099378881988,2012,9204,1,1,503115.244429208,0.24420066,0.31550679,0.13769855,0.10250257,0.026282711,0.073363043,0.04433779,0.03222489,0.0133699,0.010513084,0.21883214
"91","Estacion Central",35749,68336,24562,7910,29054,10555,0.221264930487566,0.425163896043081,0.429728849442228,128647,47519,0.369375111739877,2012,13106,3,0,927485.248640425,0.079639323,0.098830171,0.16762531,0.080190718,0.10690654,0.09441898,0.1620032,0.09022402,0.075530857,0.044630889,0.11021269
"92","Florida",2874,5495,1880,1362,4089,1142,0.473903966597077,0.744131028207461,0.607446808510638,10249,6593,0.643282271441116,2012,8104,3,0,497097.734575342,0.24284932,0.26246575,0.10761644,0.104,0.028164383,0.077917807,0.06169863,0.075178079,0.03419178,0.005917808,0.02980822
