cod_comuna,yautcorh,decil1,decil2,decil3,decil4,decil5,decil6,decil7,decil8,decil9,decil10,hacinamiento_2
16202,419482.8686546779,.46706179,.11260542,.093229994,.065420561,.0873034,.094141781,.033736039,.008206063,.032368362,.0059266011,.17916572
16203,654275.9752306945,.13591896,.17171997,.087629221,.15104419,.17824186,.089225002,.040796503,.071255118,.05328523,.020883923,.06556581
16204,401668.812445981,.30553156,.23746759,.095073469,.14369059,.047104582,.056611929,.0056179776,.065471046,.043431289,0,.0064822817
16205,442338.757354618,.25564423,.24332954,.14868872,.080957808,.073888257,.077765107,.081870012,.020068415,.014595211,.0031927023,.081185862
16206,669200.8285319197,.086886376,.12237843,.25628024,.129062,.072136439,.096566029,.11569486,.06960129,.04932012,.0020742107,.15350571
16207,457880.8898886032,.18209083,.32455012,.11653813,.15595545,.090616964,.034918595,.025492717,.042416453,.015424165,.011996573,.063196227
16301,623343.0748961425,.18071716,.13597891,.17889354,.11223216,.13141985,.075402886,.069634683,.04362822,.040377412,.031715199,.052823678
16302,463194.8859046767,.22741863,.23156312,.19519727,.079110965,.050587136,.099711508,.035878267,.026248425,.054284669,0,.042826377
16303,474455.2044592575,.20434433,.25169522,.12803125,.10228709,.12159522,.099413857,.061946902,.0099988505,.011607861,.0090794163,.044319097
16304,548674.3652582159,.27261347,.1743349,.066979654,.07636933,.13928013,.084507041,.080751173,.035680752,.042566512,.026917057,.097026601
16305,559527.8335533665,.09881182,.27795267,.16004875,.14380014,.083172537,.088554889,.082360111,.02934904,.029044379,.0069056568,.16949324
